StateAbbr,State,County,CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,TEETHLOST,STROKE,TotalPopulation,GenderMajority,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,IncomePerCapErr,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,MeanHealthCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment%_2019,Median Household Income_2019,% of State Median HH Income
AR,Arkansas,Arkansas,05001,35.5,10.7,44.2,8.1,39.4,3.9,10.8,10.3,15.5,16,18.7,22.6,5,18352,F,8785,9567,3,70.2,26,0,0,0,13982,38532,23766,1718,28.6,27.7,15.5,23.6,8.5,24.7,80.8,11.5,0,3.1,1.5,3.1,14.6,30.25,7920,75.7,15.5,8,0.9,3,52539,1.071787026
AR,Arkansas,Ashley,05003,36.1,10.7,44.8,8.2,39.1,4.1,11.4,10.8,16.4,16.5,19,24.8,5.3,20771,F,10126,10645,5.2,68,25.6,0.2,0,0,15544,36407,20703,1350,32.4,27.5,16.8,18.9,13.7,23,85.1,7.8,0.2,2.3,3,1.6,20.4,40.27,7905,78.8,18.1,2.7,0.4,5.4,47744,0.973969808
AR,Arkansas,Baxter,05005,39.4,9.6,44,10.4,42.6,4,11.3,11.8,14.5,13.7,17.4,19.9,5,41093,F,19857,21236,2.1,95.1,0.2,0.5,0.4,0,33597,40072,24737,1307,17.6,30.1,19,22.9,10.5,17.6,84.1,9.2,0.4,2.4,0.7,3.3,16.4,30.43,15926,79.5,11.7,8.6,0.2,4,41950,0.855773154
AR,Arkansas,Benton,05007,25.8,9,30.7,6.9,32.4,2.6,7,7.1,10.4,13.6,13.2,15.9,3,251823,F,124632,127191,16.3,74.2,1.6,1.4,3.7,0.5,165781,61271,30611,679,14.5,37.6,13.4,26,8.7,14.4,85.3,8.5,0.1,1.6,0.8,3.7,19.9,48.63,119813,86,8.2,5.7,0.1,2.6,70775,1.443798450
AR,Arkansas,Boone,05009,35.7,9.9,39.9,8.6,38.8,3.5,10.5,10.1,12.9,15.5,17.1,21,4.3,37212,F,18198,19014,2.3,94.2,0.4,1.1,0.5,0.1,28675,40727,22288,1054,23.7,29.8,19.5,24.8,9.7,16.2,82.7,11.1,0.1,1,1.3,3.8,19.4,39.22,15773,78.4,13.1,8.2,0.3,3.2,50083,1.021685027
AR,Arkansas,Bradley,05011,35.9,10.5,45.8,7.8,39.7,4,10.5,10.2,16.4,15.8,18.6,24.6,5.1,10994,F,5262,5732,14.8,55.9,29.1,0,0,0,7849,36310,21575,1320,42.2,25.9,16.6,13.8,18.4,25.3,82.2,9.6,0,1,2.8,4.5,22,39.94,4112,74,19,7,0,4.1,39982,0.815626275
AR,Arkansas,Calhoun,05013,36.9,10.4,44.9,8.2,40,4,11.1,10.7,15.9,16,18.6,23.7,5.2,5194,M,2693,2501,3.9,72.6,21.9,0.1,0.2,0.2,4179,37225,22866,1842,34.3,24.5,13.8,15.8,16.3,29.6,87.4,5.4,0.5,1.8,1.7,3.2,24.4,48.5,2215,73.5,23.7,2.8,0,4.4,48415,0.987658099
AR,Arkansas,Carroll,05015,35.3,9.4,41.4,8.8,40.7,3.7,10.3,10.4,13.9,14.4,17.3,19.4,4.5,27782,F,13634,14148,14.8,80.6,0.5,0.6,1,0.6,20196,39686,21754,1210,,27.5,18.5,20.1,11.2,22.7,80.2,10.5,0,3.8,0.5,5,19.8,37.51,11400,77.6,13.2,9.1,0.1,3.1,43841,0.894349245
AR,Arkansas,Chicot,05017,38.3,11.2,50.7,7.9,39.5,4.7,11.6,11.5,19,16.6,20.5,28.9,6.4,11008,F,5401,5607,5.2,39.1,54.1,0.4,0.5,0,8386,32412,20560,2755,40.7,30.1,19.9,23.9,8.9,17.2,84.7,6.4,1.3,1.7,4.1,1.7,21.8,38.26,3659,71.9,24.7,3.4,0,6.9,37014,0.755079559
AR,Arkansas,Clark,05019,28.3,10.3,37,6.7,33.6,3,7.7,7.5,11.7,15.7,14,18,3.6,22495,F,10697,11798,4.6,69.1,23.8,0.3,0.7,0,17814,37144,20382,1109,28.5,33.6,20.6,23.7,7.8,14.3,78.8,12.6,0.4,3.7,0.7,3.8,21.3,40.46,10291,75.8,18.7,5.3,0.2,3.8,44105,0.899734802
AR,Arkansas,Clay,05021,37.6,10.3,43,8.8,41.7,3.9,12.4,11.3,14.6,17,19.7,26.2,5,15190,F,7421,7769,1.9,95.8,0.7,0.5,0,0,11802,32219,19171,1143,32.4,22.3,18.3,24,12.1,23.3,84.9,9.6,0,3.1,0.5,1.9,23.3,42.64,6234,80.6,11.5,7.9,0,4.9,40686,0.829987760
