Name,Abbreviation,Code,Region
Alabama,AL,11,Southeast
Alaska,AK,12,West
American Samoa,AS,13,West
Arizona,AZ,10,Plains
Arkansas,AR,14,Southeast
California,CA,1,West
Colorado,CO,7,Plains
Connecticut,CT,15,Northeast
Delaware,DE,16,Northeast
Florida,FL,17,Southeast
Georgia,GA,18,Southeast
Guam,GU,19,West
Hawaii,HI,20,West
Idaho,ID,4,West
Illinois,IL,21,Midwest
Indiana,IN,22,Midwest
Iowa,IA,23,Midwest
Kansas,KS,24,Plains
Kentucky,KY,25,Southeast
Louisiana,LA,26,Southeast
Maine,ME,27,Northeast
Marshall Islands,MH,28,West
Maryland,MD,29,Northeast
Massachusetts,MA,30,Northeast
Michigan,MI,31,Midwest
Micronesia,FM,32,West
Minnesota,MN,33,Midwest
Mississippi,MS,34,Southeast
Missouri,MO,35,Midwest
Montana,MT,5,Plains
Nebraska,NE,36,Plains
Nevada,NV,9,West
New Hampshire,NH,37,Northeast
New Jersey,NJ,38,Northeast
New Mexico,NM,39,Plains
New York,NY,40,Northeast
North Carolina,NC,41,Southeast
North Dakota,ND,42,Midwest
Northern Marianas,MP,43,West
Ohio,OH,44,Midwest
Oklahoma,OK,45,Plains
Oregon,OR,2,West
Palau,PW,46,West
Pennsylvania,PA,47,Northeast
Puerto Rico,PR,48,Southeast
Rhode Island,RI,49,Northeast
South Carolina,SC,50,Southeast
South Dakota,SD,51,Midwest
Tennessee,TN,52,Southeast
Texas,TX,53,Plains
Utah,UT,8,Plains
Vermont,VT,54,Northeast
Virgin Islands,VI,55,Southeast
Virginia,VA,56,Southeast
Washington,WA,3,West
West Virginia,WV,57,Northeast
Wisconsin,WI,58,Midwest
Wyoming,WY,6,Plains
